name,email
Systems Limited,careers@systemsltd.com
Arbisoft,careers@arbisoft.com
10Pearls,careers.pakistan@10pearls.com
Devsinc,careers@devsinc.com
Programmers Force,hr@programmersforce.com
Netsol Technologies,careers@netsoltech.com
VentureDive,careers@venturedive.com
Contour Software,careers@contour-software.com
Confiz,careers@confiz.com
Emumba,careers@emumba.com
Folio3,careers@folio3.com
TkXel,careers@tkxel.com
Educative,jobs@educative.io 
Strategic Systems International,hr@ssi.com.pk
NorthBay Solutions,careers@northbaytechnologies.com
Carbonteq,jobs@carbonteq.com
PureLogics,careers@purelogics.net
Abacus Consulting,hr@abacus-global.com
Stallions Solutions,hr@stallions.solutions
InvoZone,jobs@invozone.com
Xavor Corporation,careers@xavor.com
Nextbridge,careers@nextbridge.com
Rolustech,hr@rolustech.com
Techlogix,careers@techlogix.com
Ozi Technology,careers@ozitechnology.com
SadaPay,jobs@sadapay.pk
NayaPay,careers@nayapay.com
Daraz Pakistan,careers@daraz.pk
Foodpanda Pakistan,careers@foodpanda.pk
PakWheels,careers@pakwheels.com
Zameen.com,hr@zameen.com
Bykea Technologies,careers@bykea.com
Remotebase,careers@remotebase.com
i2c Inc.,careers@i2cinc.com
Finja,hr@finja.pk
Keenu,careers@keenu.pk
Tez Financial Services,jobs@tezfinancialservices.pk
OLX Pakistan,careers@olx.com.pk
Symmetry Group,joinus@symmetrygroup.biz
Bramerz,hr@bramerz.pk
Tintash,careers@tintash.com
Liztek,hr@liztek.com
CureMD,careers@curemd.com
Mindstorm Studios,hr@mindstormstudios.com
Dubizzle Labs,careers@dubizzlelabs.com
Platalytics,careers@platalytics.com
Disrupt Labs,careers@disruptlabs.io
RepairDesk,careers@repairdesk.co
Techtimize,hr@techtimize.com
CodeNinja Inc.,careers@codeninjaconsulting.com
BrainX Technologies,careers@brainxtechnologies.com
Genetech Solutions,careers@genetechsolutions.com
Rootblock Labs,hr@rootblocklabs.com
Scrybe Data,careers@scrybe.co
vTeams,hr@vteams.com
Soft Pyramid,jobs@softpyramid.com
Synavos,careers@synavos.com
Five Rivers IT,hr@fiveriversit.com
Dynamologic Solutions,careers@dynamologic.com
Vaival Technologies,careers@vaival.com
ZiaTech Solutions,hr@ziatech.com.pk
ZeroSnaps,careers@zerosnaps.com
CloudTech,hr@cloudtech.pk
Devict,careers@devict.com
Itroos,careers@itroos.com
Mako IT,jobs@wearemako.com
AlgoDriven,jobs@algodriven.com
Eurisko Mobility,jobs@eurisko.com.pk
Quadrum Solutions,hr@quadrumsolutions.com
Eritheia Labs,careers@eritheialabs.com
66Loop Technologies,hr@66loop.com
Nevka Systems,careers@nevkasystems.com
Mountainise Inc.,careers@mountainise.com
Byteio Digital Solutions,careers@byteio.co
Jazz (PMCL),recruitment@jazz.com.pk
Telenor Pakistan,careers@telenor.com.pk
Zong (CMPak),careers@zong.com.pk
Nayatel,careers@nayatel.com
PTCL Group,careers@ptcl.net.pk
Habib Bank Limited,careers@hbl.com
United Bank Limited,careers@unitedbank.com.pk
Bank Alfalah,hr@bankalfalah.com
Meezan Bank,careers@meezanbank.com
Unilever Pakistan,careers@unilever.com
Nestlé Pakistan,pk.careers@nestle.com
PepsiCo Pakistan,careers.pakistan@pepsico.com
Shan Foods,hr@shanfoods.com
National Foods,careers@nationalfoods.com
Engro Corporation,careers@engro.com
Interloop Limited,hr@interloop.com.pk
Nishat Mills,careers@nishatmillsltd.com
Gul Ahmed Textile,hr@gulahmed.com
Alkaram Studio,careers@alkaram.com
K-Electric,recruitment@ke.com.pk
Pakistan State Oil,careers@pso.com.pk
TCS Logistics,hr@tcs.com.pk
Leopards Courier,careers@leopardscourier.com
Chughtai Lab,careers@chughtailab.com
Packages Group,careers@packages.com.pk
