name,email
Systems Limited,careers@systemsltd.com
Netsol Technologies,careers@netsoltech.com
VentureDive,careers@venturedive.com
Confiz,careers@confiz.com
Contour Software,careers@contour-software.com
Emumba,careers@emumba.com
Folio3,careers@folio3.com
TkXel,careers@tkxel.com
Programmers Force,hr@programmersforce.com
Educative,jobs@educative.io
Devsinc,careers@devsinc.com
Strategic Systems International,hr@ssi.com.pk
Arbisoft,careers@arbisoft.com
10Pearls,careers.pakistan@10pearls.com
NorthBay Solutions,careers@northbaytechnologies.com
Carbonteq,jobs@carbonteq.com
Rolustech,hr@rolustech.com
Cubix,careers@cubix.co
Genetech Solutions,careers@genetechsolutions.com
Techlogix,careers@techlogix.com
Ozi Technology,careers@ozitechnology.com
Symmetry Group,joinus@symmetrygroup.biz
Rootblock Labs,hr@rootblocklabs.com
Panacloud,careers@panacloud.com
Platalytics (Big Data Specialists),careers@platalytics.com
Innovative Development,hr@innovativedev.com
Tintash,careers@tintash.com
Scrybe Data,careers@scrybe.co
vTeams,hr@vteams.com
PureLogics,careers@purelogics.net
InvoZone,jobs@invozone.com
Revoloun,careers@revolun.com
PixelArt Games Academy,hr@pixelartgames.com
Bramerz,hr@bramerz.pk
Disrupt Labs,careers@disruptlabs.io
Softwood Solutions,hr@softwood.pk
CodeGreen,jobs@codegreen.pk
Codematics,careers@codematics.co
Dynamologic Solutions,careers@dynamologic.com
Five Rivers IT,hr@fiveriversit.com
i2c Inc.,careers@i2cinc.com
Nextbridge,careers@nextbridge.com
Quadrum Solutions,hr@quadrumsolutions.com
Remotebase,careers@remotebase.com
RepairDesk,careers@repairdesk.co
Soft Pyramid,jobs@softpyramid.com
Synavos,careers@synavos.com
TechnoSoft,hr@techno-soft.com
Vaival Technologies,careers@vaival.com
Mako IT,jobs@wearemako.com
Xavor Corporation,careers@xavor.com
ZiaTech Solutions,hr@ziatech.com.pk
ZeroSnaps,careers@zerosnaps.com
AlgoDriven AI,jobs@algodriven.com
BrainX,careers@brainxtechnologies.com
CloudTech,hr@cloudtech.pk
Devict,careers@devict.com
Eurisko Mobility,jobs@eurisko.com.pk
Itroos,careers@itroos.com
Mindstorm Studios,hr@mindstormstudios.com
Daraz Pakistan,careers@daraz.pk
Foodpanda,careers@foodpanda.pk
PakWheels,careers@pakwheels.com
SadaPay,jobs@sadapay.pk
NayaPay,careers@nayapay.com
Keenu Fintech,careers@keenu.pk
Nayatel,careers@nayatel.com
Jazz / PMCL,recruitment@jazz.com.pk
Telenor Pakistan,careers@telenor.com.pk
Zong / CMPak,careers@zong.com.pk
PTCL Group,careers@ptcl.net.pk
Finja Tech,hr@finja.pk
Tez Financial Services,jobs@tezfinancialservices.pk
HBL Digital Bank division,careers@hbl.com
UBL Digital,careers@unitedbank.com.pk
Bank Alfalah Innovation Lab,hr@bankalfalah.com
Meezan Bank IT Centre,careers@meezanbank.com
OLX Pakistan,careers@olx.com.pk
Zameen.com Tech Team,hr@zameen.com
Bykea Technologies,careers@bykea.com
Unilever Pakistan,careers@unilever.com
Nestle Pakistan,pk.careers@nestle.com
PepsiCo,careers.pakistan@pepsico.com
Shan Foods,hr@shanfoods.com
National Foods,careers@nationalfoods.com
Engro Corporation,careers@engro.com
Interloop Ltd,hr@interloop.com.pk
Nishat Mills,careers@nishatmillsltd.com
Gul Ahmed Textile,hr@gulahmed.com
Alkaram Studio,careers@alkaram.com
K-Electric Data Hub,recruitment@ke.com.pk
Pakistan State Oil,careers@pso.com.pk
TCS Logistics,hr@tcs.com.pk
Leopards Courier,careers@leopardscourier.com
Getz Pharma,hr@getzpharma.com
GSK Pakistan,pk.recruitment@gsk.com
Toyota Pakistan,careers@indusmotor.com
Pak Suzuki Motors,hr@paksuzuki.com.pk
Chughtai Lab Data Analytics,careers@chughtailab.com
Shaukat Khanum Hospital MIS Team,hr@shaukatkhanum.org.pk
